paper_id,reviewer_id,reviewer_type,model_name,item_number,correctness_primary,correctness_secondary,significance_primary,significance_secondary,evidence_primary,evidence_secondary,correctness_agree,significance_agree,evidence_agree
6,Claude,AI,Claude,1,Correct,Correct,Marginally Significant,Significant,Sufficient,Sufficient,True,False,True
6,Claude,AI,Claude,2,Correct,Correct,Not Significant,Significant,,Sufficient,True,False,False
6,Claude,AI,Claude,3,Correct,Correct,Significant,Significant,Sufficient,Sufficient,True,True,True
6,Claude,AI,Claude,4,Not Correct,Correct,,Not Significant,,,False,False,False
6,GPT,AI,GPT,1,Correct,Correct,Marginally Significant,Marginally Significant,Sufficient,Requires More,True,True,False
6,GPT,AI,GPT,2,Correct,Not Correct,Significant,,Sufficient,,False,False,False
6,GPT,AI,GPT,3,Correct,Not Correct,Marginally Significant,,Sufficient,,False,False,False
6,GPT,AI,GPT,4,Correct,Not Correct,Not Significant,,,,False,False,False
6,Gemini,AI,Gemini,1,Not Correct,Not Correct,,,,,True,False,False
6,Gemini,AI,Gemini,3,Correct,Correct,Marginally Significant,Marginally Significant,Sufficient,Sufficient,True,True,True
6,Gemini,AI,Gemini,4,Correct,Not Correct,Significant,,Sufficient,,False,False,False
6,Gemini,AI,Gemini,5,Correct,Correct,Significant,Significant,Requires More,Requires More,True,True,True
6,Human_1,Human,,1,Correct,Correct,Significant,Significant,Sufficient,Sufficient,True,True,True
6,Human_1,Human,,2,Correct,Correct,Significant,Significant,Sufficient,Sufficient,True,True,True
6,Human_2,Human,,1,Correct,Correct,Significant,Marginally Significant,Requires More,Sufficient,True,False,False
6,Human_2,Human,,2,Correct,Correct,Significant,Significant,Requires More,Sufficient,True,True,False
6,Human_2,Human,,3,Correct,Correct,Significant,Not Significant,Requires More,,True,False,False
6,Human_2,Human,,4,Correct,Correct,Significant,Significant,Sufficient,Sufficient,True,True,True
6,Human_2,Human,,5,Correct,Correct,Significant,Marginally Significant,Sufficient,Requires More,True,False,False
6,Human_2,Human,,6,Correct,Correct,Significant,Marginally Significant,Sufficient,Sufficient,True,False,True
6,Human_2,Human,,7,Correct,Correct,Significant,Not Significant,Sufficient,,True,False,False
6,Human_2,Human,,8,Correct,Correct,Marginally Significant,Not Significant,Sufficient,,True,False,False
6,Human_2,Human,,9,Correct,Correct,Marginally Significant,Not Significant,Sufficient,,True,False,False
6,Human_3,Human,,1,Correct,Correct,Marginally Significant,Not Significant,Requires More,,True,False,False
6,Human_3,Human,,3,Correct,Correct,Significant,Marginally Significant,Sufficient,Sufficient,True,False,True
6,Human_3,Human,,4,Not Correct,Correct,,Significant,,Sufficient,False,False,False
12,Claude,AI,Claude,1,Correct,Correct,Marginally Significant,Significant,Requires More,Sufficient,True,False,False
12,Claude,AI,Claude,2,Correct,Not Correct,Significant,,Sufficient,,False,False,False
12,Claude,AI,Claude,3,Correct,Correct,Significant,Significant,Sufficient,Sufficient,True,True,True
12,Claude,AI,Claude,4,Correct,Correct,Significant,Significant,Sufficient,Sufficient,True,True,True
12,GPT,AI,GPT,1,Correct,Correct,Significant,Significant,Sufficient,Sufficient,True,True,True
12,GPT,AI,GPT,2,Correct,Correct,Significant,Significant,Sufficient,Sufficient,True,True,True
